"Timestamp","Which year are you?","Have you lived on campus before or currently?","Which college dorms/apartments have you lived in?","Have you done your laundry on-campus before?","How many times a month do you do laundry on campus?","How satisfied are you with your laundry experience at UCSD?","Have you encountered any issues while doing laundry on campus?","Do you have any other comments/concerns? (systemwise)"
"2017/05/23 3:09:19 PM CDT","Freshman","Yes","Warren","Yes","2","5","Not enough machines. ",""
"2017/05/23 3:29:40 PM CDT","Sophomore","Yes","Marshall","Yes","4","3","one time the time was over but the water remained in the washing machine. ",""
"2017/05/23 3:36:17 PM CDT","Freshman","Yes","Warren","Yes","3","1","The dryers never fully dry your clothes so you have to run them twice and lose money in the process. Also, the washers get weird gunk and leave imprints on your clothes.",""
"2017/05/23 4:08:37 PM CDT","Senior","Yes","Muir","Yes","2","3","Rude people that take your laundry out and put on floor; also why should we have to pay for it- do you want us to stink?",""
"2017/05/23 4:40:41 PM CDT","Freshman","Yes","Revelle","Yes","2","4","Yes. The washer always breaks down, people aren't efficient with their laundry and don't get their laundry when it's done since there are only two washers and two dryers shared by the whole building.","N/A"
"2017/05/23 4:51:23 PM CDT","Sophomore","Yes","Marshall;Warren","Yes","2","5","Not enough machines, doesn't clean well sometimes",""
"2017/05/23 5:06:57 PM CDT","Sophomore","Yes","ERC","Yes","2","3","broken washers that take ur $, they smell, some driers do not dry properly",""
"2017/05/23 5:13:02 PM CDT","Freshman","Yes","Marshall","Yes","2","7","",""
"2017/05/23 5:13:42 PM CDT","Freshman","Yes","Marshall","Yes","3","3","Sometimes the dryers don't dry and my clothes are still damp. It's usually I cough up more money or hang it around my already cramped room. ",""
"2017/05/23 6:47:30 PM CDT","Sophomore","Yes","Warren","Yes","2","5","Yes: half of the Brennan Hall washing machines have been broken for over a month now. It isn't the end of the world, but it is certainly inconvenient.","It would be nice for the status of the machines to be viewable online, but I understand there are various technical and systematic issues with it."
"2017/05/23 6:56:26 PM CDT","Junior","Yes","Marshall","Yes","3","0","Students will throw clean laundry onto the ground in order to put their laundry in. The washing machines are typically moldy. The washing machines tend to be very dirty inside. The washing machines smell like dirty socks and fungi. ",""
"2017/05/23 7:10:45 PM CDT","Freshman","Yes","Marshall","Yes","1","3","Other people forgetting or coming really late to pick up their laundry. 
Lost items. ",""
"2017/05/23 8:10:59 PM CDT","Junior","Yes","Revelle","Yes","4","4","Some machines don't work, it's too expensive ",""
"2017/05/23 8:28:17 PM CDT","Sophomore","Yes","Sixth","Yes","3","7","Sometimes the laundry machine doesn't work after I put in money","Should be clear signifier that lets users know that a machine is out of order"
"2017/05/23 8:33:52 PM CDT","Freshman","Yes","Revelle","Yes","1","2","Clothes don't dry all the time in the washer",""
"2017/05/23 8:44:56 PM CDT","Junior","Yes","Muir","Yes","2","4","Not enough working machines. People leave laundry in machines for AGES ",""
"2017/05/23 10:28:16 PM CDT","Sophomore","Yes","ERC","Yes","2","2","1. When you go all the way to the laundry room only to realize you're out of money on your laundry account and they don't take any other form of payment. 2. In terms of etiquette, I don't know if it's rude to take out someone's laundry and put it on top of the washer if it's done and all the other one's are full. On the one hand, I wouldn't want people ",""
"2017/05/23 11:44:50 PM CDT","Freshman","Yes","Marshall","Yes","5","5","","If a machine is in need of repair, everyone assumes that someone else will call HDH to fix it. The machine ends up being broken for a couple of weeks, all the while taking money from unsuspecting students."
"2017/05/24 12:04:57 AM CDT","Freshman","Yes","Revelle","Yes","2","5","Revelle fleets only have 2 washing machines and 2 dryers that are often unavailable, making it difficult to do laundry. It is also difficult to carry a laundry basket full of clothes up and down four flight of stairs since the fleets do not have elevators. ",""
"2017/05/24 1:38:15 AM CDT","Junior","Yes","ERC;Warren","Yes","3","4","Not enough washers",""
"2017/05/24 6:01:32 AM CDT","Freshman","Yes","Warren","Yes","2","5","Not enough machines. ",""
"2017/05/24 4:45:48 PM CDT","Junior","Yes","Marshall;Muir;Revelle;Warren;The Village","Yes","3","5","",""
"2017/05/24 11:14:24 PM CDT","Freshman","Yes","Warren","Yes","2","6","too little machines",""
"2017/05/24 11:16:13 PM CDT","Freshman","Yes","Revelle","Yes","4","8","Card swiped but the dryer said it is in use",""
"2017/05/25 2:35:25 AM CDT","Freshman","Yes","Sixth","Yes","2","0","I just have to say that the machines are very unsanitary. The thing where you put detergent and fanbric softener is filled with some sort of liquid most of the time and the interior of washing machines are always wet and smell like something is being decomposed. It's mainly due to people closing the doors after they take out their laundry not allowing moisture inside the machine to dry(which creates a perfect condition for bacterial growth). In hot weather, it gets even worse and there were several flies in the machine. The reason I don't do laundry as often as i used to back in my home is that using school laundry doesn't really make clothes clean but rather more contaminated.","I wish people are informed that they are supposed to leave the doors open and that the there are maintenance system to keep the machines sanitary(such as wiping the interior of the machines with ethanol). 

Thanks for conducting this survey and good luck on your project!"
"2017/05/26 12:37:40 PM CDT","Other","Yes","Revelle;The Village","Yes","2","4","Too crowded/ broken laundry machines/ settings aren't accurate/ people steal things",""
